text,text_clean,sentiment
"salah satu tempat makan sunda yang sudah jadi favorit . rasa masakan nya otentik sunda banget , menu nya juga variatif dan sambel nya juara",salah makan sunda favorit masakan otentik sunda menu variatif sambal juara,positive
"akhirnya di kota surabaya yang terkenal dengan masakan nasi bebek , dibuka juga resto bebek tepi sawah yang terkenal dari bali . menu pilihan saya tentu saja bebek betutu yang otentik khas bali . kalau bebek goreng biasa , nasi bebek khas surabaya atau madura pasti rasanya lebih enak . potongan bebek nya dengan porsi yang agak besar , namun terasa empuk .",kota surabaya kenal masakan nasi bebek buka resto bebek tepi sawah kenal bal menu pilih bebek betutu otentik khas bal bebek goreng nasi bebek khas surabaya madura lebih enak potong bebek porsi asa empuk,positive
"saya mau komplain , kenapa dikirim warna pink , kemarin dibilang yang white nya ada :",komplain kirim warna merah muda kemarin white,negative
"pizza tipis dengan resep orisinal nya gurih , apalagi jika ditambah dengan minyak zaitun yang disediakan dalam botol bersama rempah . harga cukup mahal , tapi rasa makanan nya memuaskan . pelayanan nya juga bagus dan cepat .",pizza tipis resep orisinal gurih minyak zaitun sedia botol rempah harga mahal makan muas layan bagus cepat,positive
sandiaga berenang lawan menteri susi paddling di festival danau sunter,sandiaga renang lawan menteri sus paddling festival danau sunter,neutral
laptop asus baru tapi kok mati-mati melulu,laptop asus mati melulu,negative
wow keren banget pak sandi juga suka pakai sepatu merek benar-benar cinta produk indonesia .,keren sandi suka pakai sepatu merek cinta produk indonesia,positive
"restoran nya unik . satu saung terpisah agak jauh dengna saung lain dan untuk memanggil pelayan menggunakan kentongan . pemandangan oke dan bikin segar mata , sayang banyak nyamuk . by the way nasi timbel nya enak banget , jus juga mantap .",restoran unik saung pisah dengna saung panggil layan kentongan pandang oke segar mata sayang nyamuk by the way nasi timbel enak jus mantap,positive
bali adalah salah satu pulau yang menjadi tujuan destinasi para turis .,bal salah pulau tuju destinasi turis,neutral
"asli nya ini basa berada di jalan karapitan setahu saya , sekarang memenag sudah tersebar di beberapa tempat di bandung . makanan nya juga tidak hanya bakso , tetapi ada beberapa makanan tambahan yang lain . untuk rasa juga tidak terlalu spesial . untuk harga dengan ukuran harga bakso di bandung cukup mahal . ditambah pelayannan nya yang kurang bagus di ciwalk .",asli basa jalan karapitan memenag sebar bandung makan tidak bakso makan tidak spesial harga ukur harga bakso bandung mahal pelayannan bagus ciwalk,negative
goblok fpi bangsat terrorist,goblok front bela islam bangsat terrorist,negative
jangan pilih pemimpin dari keturunan china karena pada masa penjajahan mereka terang terangan memihak belanda dan mereka tidak ikut dalam memperjuangkan kemerdekaan republik indonesia,pilih pimpin turun cina jajah terang terang belanda tidak juang merdeka republik indonesia,negative
"lokasi yang strategis tidak menjamin kualitas dari restoran ini . harga mahal yang sama sekali tidak sesuai dengan kualitas makanan yang disediakan , tidak paham bagaimana manajemen ini bekerja membiarkan juru masak yang tidak kompeten dalam memasak dan menjaga standar makanan yang disediakan . pelayan tidak cepat tanggap menangani komplain dan terkesan abal-abal . pelayan tidak menanyakan tingkat kematangan daging steak yang . lanjutan",lokasi strategis tidak jamin kualitas restoran harga mahal tidak sesuai kualitas makan sedia tidak paham manajemen kerja juru masak tidak kompeten masak jaga standar makan sedia layan tidak cepat tanggap tangan komplain kes abal abal layan tidak tingkat matang daging steak,negative
demokrat enrekang makin semangat sosialisasikan iyl - cakra ke pelosok,demokrat enrekang semangat sosialisasi iyl cakra pelosok,neutral
"kedai yang menjual berbagai macam makanan ringan jepang seperi takoyaki , okonomiyaki , lalu ada berbagai pilihan ramen yang tidak kalah enak . yang terkenal juga pilihan dessert nya yang menyegarkan ! makanan favorit saya dari dulu , apalagi sekarang kedai yang di sukajadi sudah besar dan luas sehingga sangat nyaman",kedai jual makan ringan jepang takoyaki okonomiyaki pilih ramen tidak kalah enak kenal pilih dessert segar makan favorit kedai sukajadi luas nyaman,positive
"restoran nya cukup bagus , bersih . makanan nya enak . harga nya lumayan mahal . pelayanan nya ramah , banyak kafe kafe di bandung menawarkan suasana seperti ini . jadi ya . kalau mau coba silakan . buat saya sih harga yang harus dibayar sepadan dengan rasa yang diberikan .",restoran bagus bersih makan enak harga lumayan mahal layan ramah kafe kafe bandung tawar suasana coba sila harga bayar padan,positive
bumbu kacang pedas ekstra sambal bu rudi sangat mantap .,bumbu kacang pedas ekstra sambal bu rudi mantap,positive
bakmie naripan merupakan bakmie favorit saya di kota bandung karena rasanya yang konsisten sejak dulu . menu yang biasanya saya pesan adalah bakmi dengan daging babi cincang dan ditambah dengan pangsit rebus dan bakso .,bakmie naripan rupa bakmie favorit kota bandung konsisten menu pesan bakmi daging babi cincang pangsit rebus bakso,positive
"berkunjung sehabis buka puasa , konsep nya seperti bioskop , tetapi makan yang ditawarkan masakan khas sunda , dengan rasa yang biasa saja , penuh dan bau rokok di dalam ruangan , panas , jadi tidak berselera untuk makan .",kunjung habis buka puasa konsep bioskop makan tawar masakan khas sunda penuh bau rokok ruang panas tidak selera makan,negative
toloong dengan sangat ya . saya benar benar marah melihat indosat kayak gini,toloong marah lihat indosat kayak,negative
kenapa kalian semua cuma nyinyir di media sosial tentang fadli zon ? kenapa tidak demokan saja ? tidak berani ya ?,nyinyir media sosial fadli zon tidak demo tidak berani,negative
"ada banyak kan , bu risma bisa , walikota semarang bisa , bupati kudus bisa , itu sudah banyak yang mendaftar ke pdip tinggal pilih",bu risma wali kota semarang bupati kudus daftar partai demokrasi indonesia juang tinggal pilih,neutral
"paling suka fire dinas nya , jarang jarang ada kan karena di makanan cepat saji lain . dan paling suka mengatakan promo makan siang murah . suasana restoran nya juga enak dan nyaman",suka fire dinas jarang jarang makan cepat saji suka promo makan siang murah suasana restoran enak nyaman,positive
"konsep resto nya menarik sekali , unik . menu yang titawarkan juga sangat variatif juga . harga yang ditawarkan tidak tergolong murah , tapi alamak . porsi nya mini , mungil , lebih ke porsi anak-anak atau cewek . layanan dari pelayan restoran juga kurang ramah .",konsep resto tarik unik menu titawarkan variatif harga tawar tidak golong murah alamak porsi mini mungil lebih porsi anak cewek layan layan restoran ramah,negative
"tempat nya alami dan menyatu dengan alam . makanan nya enak walaupun mahal tetapi layak . tenang suasana nya , ditambah suara air sungai semakin membuat rileks dan berlama-lama di sana .",alami alam makan enak mahal layak tenang suasana suara air sungai rileks,positive
"minuman jus tebu enak , lokasi standar stand sederhana , khusus untuk tak awal , kurang cocok untuk minum di tempat . tapi saya pribadi suka sekali dengan minuman nya . jadi ke depan nya akan sering beli jus tebu ini .",minum jus tebu enak lokasi standar stand sederhana khusus cocok minum pribadi suka minum beli jus tebu,positive
tapi akhirnya mulai membiasakan diri bertahan di keras nya perjalanan di gerbong wanita karena pernah beberapa kali menghadapi hal yang membuat tidak nyaman .,tahan keras jalan gerbong wanita hadap tidak nyaman,negative
"sarapan , makan siang sampai makan malam makana nya enak semua ! menu minuman nya lucu unik , suasana nya juga seru asik foto foto . bisa buat arisan birthday dll. tempat strategis sekali",sarap makan siang makan malam enak menu minum lucu unik suasana seru asyik foto foto arisan birthday dll strategis,positive
"makanan di braga permai ini merupakan sajian klasik kota bandung . sejarah panjang selama 100 tahun menghasilkan makanan fusion indonesia , eropa hingga ke orang cina makanan . saya paling suka dengan sajian eropa ala braga permai yaitu wiener schinitzel . tambahkan sajian minuman bir dan musik live sehingga makan ke sini selalu berkesan .",makan braga permai rupa saji klasik kota bandung sejarah   hasil makan fusion indonesia eropa orang cina makan suka saji eropa ala braga permai wiener schinitzel saji minum bir musik live makan kesan,positive
"tempat nya luas , nyaman dan tenang , tidak jauh dari jalan juanda dago , tepat nya di belakang rs borromeus . cocok untuk semua usia , bahkan anak-anak , dengan disediakan nya berbagai wahana permainan untuk anak . menu nya beragam , harga lumayan mahal . saya suka steak nya chicken maupun beef . yummy .",luas nyaman tenang tidak jalan juanda dago rumah sakit borromeus cocok usia anak sedia wahana main anak menu agam harga lumayan mahal suka steak chicken beef enak,positive
percuma punya pelayanan pelanggan jelek amat pelayanan . saya mention tidak pernah dibalas . payah dasar pelayanan nya bad sekali !,layan langgan jelek layan mention tidak balas payah dasar layan bad,negative
"kampung daun cukup nyaman dan bisa merasakan sensasi makan di pedesaan . untuk dihari akhir pekan sebaiknya datang di pagi hari atau malam , karena terkadang untuk tempat lesehan yang diinginkan privacy nya suka antre panjang di siang atau sore hari .",kampung daun nyaman sensasi makan desa pekan baik pagi malam terkadang leseh privacy suka antre siang sore,positive
air minum saja harus bayar . padahal kita sudah kepedasan . restoran mahal saja enggak kayak gitu .,air minum bayar pedas restoran mahal tidak kayak,negative
"restoran ini berlokasi agak ke luar kota di jalan menuju lembang . tempat nya cantik , hijau , asri dan penataan nya terkesan alami . makanan nya cukup enak dengan harga premium . bagus untuk dikunjungi sebagai tempat wisata dan berfoto foto sekaligus makan .",restoran lokasi kota jalan tuju lembang cantik hijau asri tata kes alami makan enak harga premium bagus kunjung wisata foto foto makan,positive
paling galau kalau dikasih banyak tugas bikin galau,galau kasih tugas galau,negative
"terima kasih sudah memberikan ruang bagi perokok seperti saya , dan pemandangan yang diberikan sangat menarik . usulan dari saya , variasi pada sarapan sarapan diperbanyak lagi . terima kasih",terima kasih ruang okok pandang tarik usul variasi sarap sarap terima kasih,positive
"sesuai nama nya , restoran ini unik dalam menyajikan makanan nya , yaitu memakai piring beralas daun . cara antre memilih makanan nya juga unik , karena calon makanan dijejer , tamu bisa memilih dan nantinya akan dimasak kembali sampai matang . makanan yang disajikan lebih seperti makanan rumahan jawa / sunda . dari segi jenis makanan maupun rasa , tak ada yang istimewa .",sesuai nama restoran unik saji makan pakai piring alas daun antre pilih makan unik calon makan jejer tamu pilih masak matang makan saji lebih makan rumah jawa sunda segi jenis makan istimewa,negative
"tidak pernah bosan ! dari tahun 1996 saya pertama kali kenal ayam goreng suharti , saya langsung katakan inilah ayam paling top yang pernah saya makan . resep rahasia dan bumbu kremes nya menambah cita rasa tersendiri dari ayam goreng legendaris asli indonesia ini",tidak bosan   kenal ayam goreng suharti langsung ayam top makan resep rahasia bumbu kremes cita ayam goreng legendaris asli indonesia,positive
"resto ini belum lama dibuka di bandung , pemilik nya pasangan nirina zubir ernest . begitu masuk terasa banget suasana homy dan nyaman nya . enak buat makan bareng keluarga atau teman . staf nya juga ramah . karena kami datang dengan keluarga , mereka tanya apakah akan pesan individu atau berbagi . dan kasih masukan yang menarik . harga ribs atau steak nya kisaran 125 ribu - 350 ribu an . tapi porsi nya cukup besar juga .",resto buka bandung milik pasang nirina zubir ernest masuk asa suasana homy nyaman enak makan bareng keluarga teman staf ramah keluarga pesan individu kasih masuk tarik harga ribs steak kisar   ribu   ribu an porsi,positive
"tempat yang bagus dan tenang untuk beristirahat bersama keluarga , berada di daerah sersan bajuri bandung yang terkenal dengan beberapa tempat wisata nya menjadikan tempat ini bisa jadi pilhan setelah kita bermain di kampung gajah .",bagus tenang istirahat keluarga daerah sersan bajuri bandung kenal wisata pilhan main kampung gajah,positive
saya jadi semakin tidak suka jokowi,tidak suka jokowi,negative
inti nya yang dukung ahok itu goblok dan tidak bermoral . halal darah nya dibunuh dan halal juga kalau wanita diperkosa ramai-ramai .,inti dukung ahok goblok tidak moral halal darah bunuh halal wanita perkosa ramai,negative
simpang raya restoran di jalan . surapati no. 51 sekarang sudah tidak ada . berubah fungsi dan bangunan menjadi hotel vio . salah satu hotel budget yang dikelola oleh dafam group . hotel ini sangat strategis letak nya . dengan posisi di central bisnis dan pemerintahan menjadikan hotel ini salah satu tempat menginap yang cocok untuk keperluan para pebisnis atau wisatawan backpacker . posisi nya di seberang lapang / taman gasibu .,simpang raya restoran jalan surapati no   tidak ubah fungsi bangun hotel vio salah hotel budget kelola dafam grup hotel strategis letak posisi central bisnis perintah hotel salah inap cocok bisnis wisatawan backpacker posisi seberang lapang taman gasibu,positive
"sebagai orang yang kediaman nya dekat dengan tempat ini saya sangat suka menghabiskan waktu untuk makan siang di sini . makanan favorit saya adalah cumi dan ayam goreng , sambal nya juga lezat . tapi kalau sudah makan sayur nya rasanya kok tidak segar dan seperti dimasak dengan takaran bumbu yang asal . setelah lama tidak ke bancakan , ketika kemarin saya ke sana rasa masakan nya semakin aneh .",orang diam suka habis makan siang makan favorit cumi ayam goreng sambal lezat makan sayur tidak segar masak takar bumbu tidak bancak kemarin masakan aneh,positive
"makanan nya cukup lezat dan bisa pilih buffet atau ala carte . saat makan malam di sini kami memilih menu ala carte , dan sayang nya waktu penyajian nya agak lama .",makan lezat pilih buffet ala carte makan malam pilih menu ala carte sayang saji,positive
"banyak bubur ayam enak dan terkenal di bandung , salah satu nya adalah ini , anda wajib mencoba nya . mantaabb",bubur ayam enak kenal bandung salah wajib coba mantaabb,positive
hampir semua makanan sunda porsi besar ada di sini . hanya hati-hati penyajian karena bisa nanti jorok dan banyak lalat . maju terus dan jaga kebersihan ya . mantap .,makan sunda porsi hati saji jorok lalat maju jaga bersih mantap,positive
"rumah makan di jalan anggrek ini memiliki keistimewaan jenis seafood yang beragam dan ada yang masih hidup untuk dipilih dan dimasak saat itu juga . berbagai jenis masakan dapat dipilih dan waktu tunggu yang singkat membuat kita tidak terlalu lama kelaparan menunggu . menu steam kerapu sangat enak dan gurih , apalagi bila dimasak dengan ikan yang masih segar . lokasi cukup sejuk , harga murah .",rumah makan jalan anggrek milik istimewa jenis seafood agam hidup pilih masak jenis masakan pilih tunggu singkat tidak lapar tunggu menu steam kerapu enak gurih masak ikan segar lokasi sejuk harga murah,positive
"saya datang berlima bersama teman-teman saya . pada saat pertama kali datang , pelayan mengatakan bahwa akan sedikit lama menunggu pesanan saya untuk disajikan karena kondisi pada saat itu memang ramai . pada saat disodori daftar menu tanpa ada keterangan harga , saya memesan nasi goreng cumi dan es jeruk .",teman layan tunggu pesan saji kondisi ramai sodor daftar menu terang harga mes nasi goreng cumi es jeruk,negative
"sudah buta , buat orang susah lagi",buta orang susah,negative
"malam minggu galau ke mana ? nongcans di sini enak nih ditemani penyanyi-penyanyi merdu , makanan nya enak , minuman yang bervariasi dan ada wine bir juga di sinii , atau yang cuma mau ngemil-ngemil doang disini juga ada roti-roti an piza . lalu di sini juga enak ini buat para jomblo cuci mata .",malam minggu galau nongcans enak tani nyanyi merdu makan enak minum variasi wine bir ngemil doang roti an piza enak jomlo cuci mata,positive
"sebenarnya restoran ini sudah berdiri sejak lama . ketika awal-awal baru dibuka sih saya kurang suka dengan rasanya . tidak sesuai dengan di lidah . tapi sepertinya manajemen nya terus memperbaiki diri sehingga dalam jangka waktu 1 tahun saja , makanan nya sudah berubah menjadi enak . restoran ini berada di dago atas . sebelum mencapai tempat ini , kita akan melewati satu tanjakan curam . jadi siap-siap saja ya . rasanya sangat berkesan .",restoran buka suka tidak sesuai lidah manajemen baik jangka   makan ubah enak restoran dago capai tanjak curam kesan,positive
"santap siang kali ini menikmati rujak cuka yang dihidangkan di bagian festival tempura . tampilan sementara saat diambil biasa saja . setelah disantap , biasa dijumpai irisan ubi jalar , bengkuang , kedondong dan nanas . ternyata selain itu , ditemukan juga irisan buah pala muda yang khas . ini luar biasa . rujak yang istimewa , asin , manis , asam , pedas semua berasa menyegarkan sebagai hidangan pembuka",santap siang nikmat rujak cuka hidang festival tempura tampil ambil santap jumpa iris ubi jalar bengkuang kedondong nanas nyata temu iris buah pala muda khas rujak istimewa asin manis asam pedas asa segar hidang buka,positive
"tim saya akan mengadakan makan malam tema di burgundy . daripada tersesat , saya dan sekretaris saya mencoba mengecek tempat nya dahulu sehari sebelumnya . sekalian juga tes makanan . perjalanan nya jauh sekali dan naik turun bukit . diperparah ketika kami ke sana itu hari minggu sore sehingga macet . sesampai nya di sana sih pemandangan nya oke . tapi layout restoran nya biasa saja .",tim makan malam tema burgundy sesat sekretaris coba ecek tes makan jalan turun bukit parah minggu sore macet sampa pandang oke layout restoran,negative
"kedai mi tarik ini berada di lantai foodcourt istana plaza bandung . yang bikin menarik pertama adalah mie nya dibuat sendiri oleh mereka tepat setelah kita memesan . mereka akan membuat mie secara langsung dari adonan tepung yang telah mereka siapkan sebelumnya dan lalu menggebrak meja dalam proses pembuatan mi nya . hal ini yang juga menarik saya , karena suara gebrakan meja nya . __laugh__ ada . lanjutan",kedai mi tarik lantai foodcourt istana plaza bandung tarik mie mes mie langsung adon tepung gebrak meja proses mi tarik suara gebrak meja laugh,positive
"berada tepat di depan bip dan disebelah gramedia jalan . merdeka , sebenarnya lokasi nya sangat mudah ditemukan , ditambah dengan logo kfc yang super besar setiap yang lewat depan nya pasti sadar dengan resto ini . parkiran nya yang luas , kadang menjadi pertimbangan untuk makan di tempat ini . kafe nya sendiri sebenarnya tidaklah terlalu besar , seperti kfc yang lain , di ruangan dibagi menjadi 2 ruangan , yaitu smoking dan non .",bip belah gramedia jalan merdeka lokasi mudah temu logo kentaki fried chicken super sadar resto parkir luas kadang timbang makan kafe tidak kentaki fried chicken ruang   ruang smoking non,positive
"restoran yang tersembunyi di belakang bjb dekat simpang dago ini merupakan permata tersembunyi di bandung . parkir cukup luas , suasana cukup oke , pelayanan cukup cepat dan yang terpenting rasa masakan nya top . kami mencoba steak dan menu andalan mereka yaitu schaschlik . seluruh nya enak . daging nya empuk , saus nya pas menurut saya , baked dan mashed potato nya juga enak . harga agak sedikit mahal namun sebanding dengan .",restoran sembunyi bjb simpang dago rupa permata sembunyi bandung parkir luas suasana oke layan cepat masakan top coba steak menu andal schaschlik enak daging empuk saus pas baked mashed potato enak harga mahal banding,positive
"tak setuju kebijakan nya , ppp minta menteri susi dituntaskan",tuju bijak ppp menteri sus tuntas,neutral
"nasi goreng nya banyak variasi , mungkin lebih kerasa khas nusantara dengan banyak rempah khas indonesia . level pedas nya juga bervariasi . saya pribadi sih suka .",nasi goreng variasi lebih khas nusantara rempah khas indonesia level pedas variasi pribadi suka,positive
"warung steak baru yang saya rekomendasikan di bandung , ingat ini warung steak bukan fine dining atau bistro , manage your expectation . terletak di sebuah sudut di perempatan cicendo - pajajaran berseberangan dengan pabrik kina pt . kimia farma . harga makanan minuman cukup merakyat < 20$ / keluarga 4 orang , kualitas , pelayanan , porsi oke . menu cukup bervariasi dari yang terbarat - baratan sampai ke timur-timuran :, tersedia ruang . lanjutan",warung steak rekomendasi bandung warung steak fine ning bistro manage your expectation letak buah sudut cicendo pajajaran berangan pabrik kina pt kimia farma harga makan minum rakyat   keluarga   orang kualitas layan porsi oke menu variasi barat barat timur sedia ruang,positive
"kfc ya kfc . dengan makanan ayam fried chicken yang khas . rasa yang stabil di semua cabang nya . pendapat saya pribadi ayam kfc adalah ayam fried chicken terenak di kelas nya . lokasi kfc pvj cukup strategis untuk nongkrong . dekat dengan starbucks , burger king , dan banyak penyewa bagus lainnya .",kentaki fried chicken kentaki fried chicken makan ayam fried chicken khas stabil cabang pribadi ayam kentaki fried chicken ayam fried chicken enak kelas lokasi kentaki fried chicken pvj strategis nongkrong starbucks burger raja sewa bagus,positive
yang terhormat tolong cek pesan langsung !,hormat tolong cek pesan langsung,neutral
kelezatan batagor dan siomay kingsley terletak pada kandungan ikan tenggiri sebagai bahan baku dan berpadu dengan bumbu serta rempah pilihan . kedai kecil ini selalu padat pengunjung dan tersedia pula pilihan makanan lain seperti mi ayam dan es campur . baru-baru ini kedai direnovasi cukup besar untuk menambah daya tampung dan kenyamanan .,lezat batagor siomay kingsley letak kandung ikan tenggiri bahan baku padu bumbu rempah pilih kedai padat unjung sedia pilih makan mi ayam es campur kedai renovasi daya tampung nyaman,positive
saya senang menginap di hotel vio pasteur,senang inap hotel vio pasteur,positive
tempat nya berada di atas kota bandung . tepat nya di dago pakar . kesini nya memang agak susah dan berputar-putar . hanya ketika sudah sampai . tempat nya sungguh aduhai dan memanjakan mata . untuk makanan nya lebih ke barat . hanya ada menu nasi-nasi juga . yang harus kamu coba tentu menu steak nya . selain gede . topping nya juga banyak sekali . tob b - tidak - triliun sudah .,kota bandung dago pakar kesini susah putar sungguh aduhai manja mata makan lebih barat menu nasi coba menu steak gede topping tob b tidak triliun,positive
kalau pks sama fpi susah karena harus selamatkan banyak orang waras . kaderisasi mereka berdua berasa masih hahahihi sehingga banyak banget pentolan nya yang akhirnya keluar bahkan pindah agama,partai adil sejahtera front bela islam susah selamat orang waras kaderisasi asa hahahihi pentol pindah agama,negative
"ketika pertama kali saya ke sini adalah untuk sarapan , udara segar , kopi panas , dan mendoan sungguh saya merasa pagi saya sempurna kala itu . mendoan di sini bikin saya ketagihan , suasana dan udarang juga . ketika malam hari , suasana yang dirasakan juga sama , hanya saja lebih temaram tapi tetap mendoan nya mantap banget .",sarap udara segar kopi panas mendoan sungguh pagi sempurna mendoan tagih suasana udarang malam suasana lebih temaram mendoan mantap,positive
"pengalaman makan di sini harga makanan tinggi , pusing antre , cita rasa makanan biasa banget , pemandangan dan lain-lain juga biasa saja jajanan2 di dekat pintu masuk juga bikin ribet , sudah ramai harus beli kupon , tempat duduk tidak memadai , yang ada emosi jiwa duluan dan jadi tidak nafsu makan lagi",alam makan harga makan pusing antre cita makan pandang jajanan   pintu masuk ribet ramai beli kupon duduk tidak emosi jiwa lebih tidak nafsu makan,positive
"bagi kalian yang sedang berlibur di bandung , kafe ini bisa jadi alternatif hang out bersama pasangan . letak nya di daerah dago giri . saya ke sini pada sore hari , saat pemandangan nan hijau terhampar jelas dari tempat saya duduk . untuk harga makanan bagi saya cukup mahal . maka dari itu saya hanya memesan hot chocolate saja : d",libur bandung kafe alternatif hang out pasang letak daerah dago giri sore pandang hijau hampar duduk harga makan mahal mes hot chocolate,positive
menteri pendayagunaan aparatur negara dan reformasi birokrasi menyarankan untuk segera melaporkan aparatur sipil negara yang tidak netral .,menteri pendayagunaan aparatur negara reformasi birokrasi saran lapor aparatur sipil negara tidak netral,neutral
"cara merekam layar android versi kitkat , uji coba pada asus zenfone via",rekam layar android versi kitkat uji coba asus zenfone via,neutral
desain bangunan yang artistik dan dibangun untuk mendapatkan view yang bagus untuk berfoto serta makanan dan minuman yang tidak terlalu mahal serta ada nya live musik pada saat saya datang cukup menghibur .,desain bangun artistik bangun view bagus foto makan minum tidak mahal live musik hibur,positive
masuk jam 8.30 tapi jam segini masih pakai baju tidur . saya benar benar kena masa di jenuh kuliah mengerjakan hal yang sama tapi cara nya beda beda alias tidak jelas,masuk jam     jam gin pakai baju tidur kena jenuh kuliah kerja beda beda alias tidak,negative
"makanan yang tesedia cukup beragam . peralatan makan yang digunakan kebanyakan peralatan antik . suasana rumah makan sangat santai . makanan favorit saya adalah tutug dimasak kuah pedas , es cendol hijau , dan karedok . air putih dapat anda minum gratis langsung dari teko antik .",makan tesedia agam alat makan alat antik suasana rumah makan santai makan favorit tutug masak kuah pedas es cendol hijau karedok air putih minum gratis langsung teko antik,positive
"pemandangan nya bagus sih tetapi makanan nya biasa aja terus kita harus deposit dulu sebelum masuk , pelayanan nya kurang frofesional mungkin karena mengambil dari warga sekitar maklum lokasi nya lumayan jauh kalau haris ke pusat bandung .",pandang bagus makan deposit masuk layan frofesional ambil warga maklum lokasi lumayan haris pusat bandung,positive
menyesal,sesal,negative
"sebenarnya kalau ke bandung , untuk urusan kuliner saya tidak mencari orang cina makanan . namun waktu itu sedang hujan , dan udara bandung sangat dingin . akhirnya saya ke ta wan , untuk memesan bubur seafood nya . dengan kehangatan yang pas , rasanya nikmat sekali menikmati bubur seafood hangat di tengah udara yang dingin dan sejuk .",bandung urus kuliner tidak cari orang cina makan hujan udara bandung dingin ta wan mes bubur seafood hangat pas nikmat nikmat bubur seafood hangat udara dingin sejuk,positive
"kualitas bun kurang oke , karena tekstur roti nya cenderung kering , rasa standar , harga juga tidak bisa disebut murah , harga basic burger dengan isian chicken , fish , beef patty seharga 17 - 18 ribu . ukuran patty relatif kecil , bisa ditambahkan berbagai add on , mulai dari lembar keju , jamur , irisan nanas , dan lain-lain dengan tambahan biaya per barang sekitar 3 - 6 ribu kecuali tambahan patty . saya coba menambahkan . lanjutan",kualitas bun oke tekstur roti cenderung kering standar harga tidak murah harga basic burger isi chicken fish beef patty harga     ribu ukur patty relatif add on lembar keju jamur iris nanas biaya barang     ribu kecuali patty coba,positive
"ini gay yang konon nya nak lindungi muhammak , padahal dia kelak akan dibakar di dalam neraka muhammak , muslim bodoh",gay konon nak lindung muhammak kelak bakar neraka muhammak muslim bodoh,negative
"bersama srikandi anggota dpr ri melani leimena , bersiap dengarkan pidato politik awal tahun di dpc kab. bogor",srikandi anggota dewan wakil rakyat ri melani leimena dengar pidato politik dewan pimpin cabang kab bogor,neutral
saya senang dengan jokowi karena orang nya tidak sombong . beliau sangat sederhana dan selalu bersyukur dengan apa pun yang sedang dijalani .,senang jokowi orang tidak sombong beliau sederhana syukur jalan,positive
"mcd simpang dago menawarkan berbagai menu seperti mcd di tempat-tempat lainnya . lokasi nya yang berada di perempatan jalan dan buka 24 jam menjadikan nya tempat yang sangat strategis untuk dijadikan tempat janjian dengan teman . fasilitas nya cukup lengkap , ada wi - fi , toilet , dan musala untuk ibadah . harga makanan di mcd simpang dago terbilang standar untuk ukuran makanan cepat saji .",mc donalds simpang dago tawar menu mc donalds lokasi jalan buka   jam strategis janji teman fasilitas lengkap wi fi toilet musala ibadah harga makan mc donalds simpang dago standar ukur makan cepat saji,positive
"mudah dijangkau karena memiliki banyak cabang yang tersebar di penjuru kota bandung . daging yang empuk dan dibakar dengan sempurna , serta bumbu yang gurih",mudah jangkau milik cabang sebar penjuru kota bandung daging empuk bakar sempurna bumbu gurih,positive
"berlibur pada saat lebaran membuat kami kesusahan mencari hotel , pada akhirnya kami menginap di hyper inn paskal , dan pada saat malam hari kami berjalan kaki dari hotel untuk mencari makan di paskal makanan pasar , tempat nya sangat ramai dan banyak pilihan makanan yang dilengkapi dengan live music",libur lebaran susah cari hotel inap hyper inn paskal malam jalan kaki hotel cari makan paskal makan pasar ramai pilih makan lengkap live musik,positive
kambing bakar dengan slogan unik yaitu terenak kedua sehingga otomatis orang akan bertanya yang pertama siapa ? saya pernah makan di cabang jakarta juga . rasanya tidak jauh berbeda . kambing nya empuk dan tidak berbau prengus . bumbu nya pas . jika dimakan dengan nasi hangat akan membuat cukup kenyang . cocok dimakan di udara bandung yang dingin,kambing bakar slogan unik enak otomatis orang makan cabang jakarta tidak beda kambing empuk tidak bau prengus bumbu pas makan nasi hangat kenyang cocok makan udara bandung dingin,positive
"lokasi agak jauh dari kota bandung dan sekarang ada 2 gerbang pembayaran untuk bisa ke the peak dengan total 5000 rupiah . ini seperti pemaksaan untuk pungutan liar karena anda tidak akan bisa ke the peak tanpa melewati kedua gerbang ini . makanan cukup enak walaupun harga mahal 88k untuk pasta dan makanan standard lainnya , 150 - 300k untuk steak . pemandangan cukup bagus .",lokasi kota bandung   gerbang bayar the peak total   rupiah paksa pungut liar tidak the peak gerbang makan enak harga mahal   k pasta makan standard     k steak pandang bagus,positive
"pemandangan yang indah saat menyantap makanan bersama teman di sini tempat nya . ada live music nya juga . cocok buat pasangan dan keluarga , pelayanan yang baik dan juga makanan yang enak . kapan-kapan kita akan kembali lagi .",pandang indah santap makan teman live musik cocok pasang keluarga layan baik makan enak,positive
"kafe bunga terletak di villa istana bunga , sebuah kawasan peristirahatan dengan suasana sejuk di jalan menuju lembang . pilih tempat di area balkon agar dapat menikmati senja yang indah saat matahari tenggelam perlahan di balik gunung burangrang .",kafe bunga letak vila istana bunga buah kawasan istirahat suasana sejuk jalan tuju lembang pilih area balkon nikmat senja indah matahari tenggelam perlahan gunung burangrang,positive
